"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00670","hsa00670","One carbon pool by folate","1/141","20/8087",0.29686130497526,0.998572687300274,0.98189309309072,"MTHFD2",1
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","2/141","63/8087",0.300821077863128,0.998572687300274,0.98189309309072,"IL1B/POLR3F",2
"hsa04668","hsa04668","TNF signaling pathway","3/141","112/8087",0.310292648561656,0.998572687300274,0.98189309309072,"IL1B/MLKL/PTGS2",3
"hsa00900","hsa00900","Terpenoid backbone biosynthesis","1/141","22/8087",0.321227775020098,0.998572687300274,0.98189309309072,"PDSS1",1
"hsa04614","hsa04614","Renin-angiotensin system","1/141","23/8087",0.333094716585152,0.998572687300274,0.98189309309072,"ENPEP",1
"hsa00534","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/141","24/8087",0.344755634859147,0.998572687300274,0.98189309309072,"XYLT1",1
"hsa04977","hsa04977","Vitamin digestion and absorption","1/141","24/8087",0.344755634859147,0.998572687300274,0.98189309309072,"SLC19A2",1
"hsa00563","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","1/141","25/8087",0.356214081527243,0.998572687300274,0.98189309309072,"PIGA",1
"hsa03320","hsa03320","PPAR signaling pathway","2/141","76/8087",0.383559364994019,0.998572687300274,0.98189309309072,"ANGPTL4/FABP5",2
"hsa05212","hsa05212","Pancreatic cancer","2/141","76/8087",0.383559364994019,0.998572687300274,0.98189309309072,"BRCA2/RAD51",2
"hsa05140","hsa05140","Leishmaniasis","2/141","77/8087",0.389770285476697,0.998572687300274,0.98189309309072,"IL1B/PTGS2",2
"hsa04114","hsa04114","Oocyte meiosis","3/141","129/8087",0.391517786942433,0.998572687300274,0.98189309309072,"CCNE2/CDK1/FBXO5",3
"hsa00230","hsa00230","Purine metabolism","3/141","130/8087",0.396246167021208,0.998572687300274,0.98189309309072,"DCK/PNP/PRPS1",3
"hsa04392","hsa04392","Hippo signaling pathway - multiple species","1/141","29/8087",0.400092079581062,0.998572687300274,0.98189309309072,"FRMD6",1
"hsa03013","hsa03013","RNA transport","4/141","186/8087",0.408088333413148,0.998572687300274,0.98189309309072,"RNU4-1/RNU5A-1/RNVU1-18/UPF3B",4
"hsa00030","hsa00030","Pentose phosphate pathway","1/141","30/8087",0.410589351457343,0.998572687300274,0.98189309309072,"PRPS1",1
"hsa01523","hsa01523","Antifolate resistance","1/141","31/8087",0.420904220694592,0.998572687300274,0.98189309309072,"IL1B",1
"hsa03020","hsa03020","RNA polymerase","1/141","31/8087",0.420904220694592,0.998572687300274,0.98189309309072,"POLR3F",1
"hsa04151","hsa04151","PI3K-Akt signaling pathway","7/141","354/8087",0.422102813489377,0.998572687300274,0.98189309309072,"BRCA1/CCNE2/COL6A3/FLT1/ITGA2/LAMC2/TEK",7
"hsa04215","hsa04215","Apoptosis - multiple species","1/141","32/8087",0.431039834508155,0.998572687300274,0.98189309309072,"PMAIP1",1
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","3/141","140/8087",0.442925307026391,0.998572687300274,0.98189309309072,"BRCA1/FANCL/SMURF2",3
"hsa05210","hsa05210","Colorectal cancer","2/141","86/8087",0.444328717413571,0.998572687300274,0.98189309309072,"MSH2/PMAIP1",2
"hsa00760","hsa00760","Nicotinate and nicotinamide metabolism","1/141","35/8087",0.460401812266107,0.998572687300274,0.98189309309072,"PNP",1
"hsa04510","hsa04510","Focal adhesion","4/141","201/8087",0.466628965392908,0.998572687300274,0.98189309309072,"COL6A3/FLT1/ITGA2/LAMC2",4
"hsa00500","hsa00500","Starch and sucrose metabolism","1/141","36/8087",0.469850811827766,0.998572687300274,0.98189309309072,"PGM2L1",1
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","1/141","37/8087",0.479135501373448,0.998572687300274,0.98189309309072,"ASNS",1
"hsa05143","hsa05143","African trypanosomiasis","1/141","37/8087",0.479135501373448,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04657","hsa04657","IL-17 signaling pathway","2/141","94/8087",0.490507291827318,0.998572687300274,0.98189309309072,"IL1B/PTGS2",2
"hsa04145","hsa04145","Phagosome","3/141","152/8087",0.497015196921545,0.998572687300274,0.98189309309072,"ITGA2/SEC61G/TFRC",3
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","1/141","40/8087",0.506031839070936,0.998572687300274,0.98189309309072,"PSAT1",1
"hsa00564","hsa00564","Glycerophospholipid metabolism","2/141","98/8087",0.512687478986282,0.998572687300274,0.98189309309072,"DGKI/GPAM",2
"hsa01240","hsa01240","Biosynthesis of cofactors","3/141","156/8087",0.514469404211455,0.998572687300274,0.98189309309072,"GCLC/MTHFD2/PSAT1",3
"hsa05165","hsa05165","Human papillomavirus infection","6/141","331/8087",0.520665686646947,0.998572687300274,0.98189309309072,"CCNE2/COL6A3/ITGA2/LAMC2/PTGS2/RBL1",6
"hsa03010","hsa03010","Ribosome","3/141","158/8087",0.523077027896313,0.998572687300274,0.98189309309072,"RPL26/RPS10/RPS21",3
"hsa05332","hsa05332","Graft-versus-host disease","1/141","42/8087",0.52319191405025,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","2/141","100/8087",0.523539615684013,0.998572687300274,0.98189309309072,"CDC25A/CDK1",2
"hsa04940","hsa04940","Type I diabetes mellitus","1/141","43/8087",0.531548649925814,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05146","hsa05146","Amoebiasis","2/141","102/8087",0.534230068361872,0.998572687300274,0.98189309309072,"IL1B/LAMC2",2
"hsa04064","hsa04064","NF-kappa B signaling pathway","2/141","104/8087",0.544756981501459,0.998572687300274,0.98189309309072,"IL1B/PTGS2",2
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","2/141","104/8087",0.544756981501459,0.998572687300274,0.98189309309072,"IL1B/PTGS2",2
"hsa03050","hsa03050","Proteasome","1/141","46/8087",0.555756211013059,0.998572687300274,0.98189309309072,"PSMA2",1
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism","1/141","48/8087",0.571200313803109,0.998572687300274,0.98189309309072,"NAGK",1
"hsa05171","hsa05171","Coronavirus disease - COVID-19","4/141","232/8087",0.579967566430929,0.998572687300274,0.98189309309072,"IL1B/RPL26/RPS10/RPS21",4
"hsa04340","hsa04340","Hedgehog signaling pathway","1/141","50/8087",0.586111179622547,0.998572687300274,0.98189309309072,"SMURF2",1
"hsa04979","hsa04979","Cholesterol metabolism","1/141","50/8087",0.586111179622547,0.998572687300274,0.98189309309072,"ANGPTL4",1
"hsa05110","hsa05110","Vibrio cholerae infection","1/141","50/8087",0.586111179622547,0.998572687300274,0.98189309309072,"SEC61G",1
"hsa05144","hsa05144","Malaria","1/141","50/8087",0.586111179622547,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04913","hsa04913","Ovarian steroidogenesis","1/141","51/8087",0.59337238699759,0.998572687300274,0.98189309309072,"PTGS2",1
"hsa04724","hsa04724","Glutamatergic synapse","2/141","114/8087",0.594894734831541,0.998572687300274,0.98189309309072,"HOMER1/HOMER2",2
"hsa01200","hsa01200","Carbon metabolism","2/141","118/8087",0.613772551652922,0.998572687300274,0.98189309309072,"PRPS1/PSAT1",2
"hsa04360","hsa04360","Axon guidance","3/141","182/8087",0.61945662232548,0.998572687300274,0.98189309309072,"PLXNA2/SEMA3C/SEMA7A",3
"hsa00480","hsa00480","Glutathione metabolism","1/141","57/8087",0.634358383550847,0.998572687300274,0.98189309309072,"GCLC",1
"hsa04370","hsa04370","VEGF signaling pathway","1/141","59/8087",0.647087147422223,0.998572687300274,0.98189309309072,"PTGS2",1
"hsa04978","hsa04978","Mineral absorption","1/141","59/8087",0.647087147422223,0.998572687300274,0.98189309309072,"STEAP1",1
"hsa00590","hsa00590","Arachidonic acid metabolism","1/141","61/8087",0.659375829668054,0.998572687300274,0.98189309309072,"PTGS2",1
"hsa05321","hsa05321","Inflammatory bowel disease","1/141","65/8087",0.682692875466741,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05162","hsa05162","Measles","2/141","139/8087",0.701962649223001,0.998572687300274,0.98189309309072,"CCNE2/IL1B",2
"hsa05230","hsa05230","Central carbon metabolism in cancer","1/141","70/8087",0.709622151411977,0.998572687300274,0.98189309309072,"SLC7A5",1
"hsa05224","hsa05224","Breast cancer","2/141","147/8087",0.730912566779009,0.998572687300274,0.98189309309072,"BRCA1/BRCA2",2
"hsa04514","hsa04514","Cell adhesion molecules","2/141","149/8087",0.73776988512426,0.998572687300274,0.98189309309072,"CD274/CDH2",2
"hsa05133","hsa05133","Pertussis","1/141","76/8087",0.738957107756385,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05204","hsa05204","Chemical carcinogenesis","1/141","83/8087",0.769480606083799,0.998572687300274,0.98189309309072,"PTGS2",1
"hsa04217","hsa04217","Necroptosis","2/141","159/8087",0.769872110530301,0.998572687300274,0.98189309309072,"IL1B/MLKL",2
"hsa04310","hsa04310","Wnt signaling pathway","2/141","160/8087",0.772888186594873,0.998572687300274,0.98189309309072,"CACYBP/DKK1",2
"hsa05161","hsa05161","Hepatitis B","2/141","162/8087",0.778817854364328,0.998572687300274,0.98189309309072,"CCNE2/PCNA",2
"hsa04540","hsa04540","Gap junction","1/141","88/8087",0.789086822781139,0.998572687300274,0.98189309309072,"CDK1",1
"hsa04727","hsa04727","GABAergic synapse","1/141","89/8087",0.792804632255805,0.998572687300274,0.98189309309072,"SLC38A5",1
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","1/141","89/8087",0.792804632255805,0.998572687300274,0.98189309309072,"CD274",1
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","1/141","90/8087",0.796457363795182,0.998572687300274,0.98189309309072,"ITGA2",1
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","2/141","171/8087",0.803863744106026,0.998572687300274,0.98189309309072,"HSPH1/SEC61G",2
"hsa05132","hsa05132","Salmonella infection","3/141","249/8087",0.814751267783138,0.998572687300274,0.98189309309072,"IL1B/MLKL/PODXL",3
"hsa05150","hsa05150","Staphylococcus aureus infection","1/141","96/8087",0.81706911299957,0.998572687300274,0.98189309309072,"KRT34",1
"hsa05414","hsa05414","Dilated cardiomyopathy","1/141","96/8087",0.81706911299957,0.998572687300274,0.98189309309072,"ITGA2",1
"hsa03015","hsa03015","mRNA surveillance pathway","1/141","97/8087",0.820296901144616,0.998572687300274,0.98189309309072,"UPF3B",1
"hsa04070","hsa04070","Phosphatidylinositol signaling system","1/141","97/8087",0.820296901144616,0.998572687300274,0.98189309309072,"DGKI",1
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","1/141","97/8087",0.820296901144616,0.998572687300274,0.98189309309072,"MYO10",1
"hsa05215","hsa05215","Prostate cancer","1/141","97/8087",0.820296901144616,0.998572687300274,0.98189309309072,"CCNE2",1
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","1/141","98/8087",0.823468132300887,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05231","hsa05231","Choline metabolism in cancer","1/141","98/8087",0.823468132300887,0.998572687300274,0.98189309309072,"DGKI",1
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","1/141","100/8087",0.829644842769966,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05142","hsa05142","Chagas disease","1/141","102/8087",0.835606914396855,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04620","hsa04620","Toll-like receptor signaling pathway","1/141","104/8087",0.841361754383789,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04659","hsa04659","Th17 cell differentiation","1/141","107/8087",0.849621035723894,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05202","hsa05202","Transcriptional misregulation in cancer","2/141","192/8087",0.852798482301538,0.998572687300274,0.98189309309072,"FLT1/SUPT3H",2
"hsa05145","hsa05145","Toxoplasmosis","1/141","112/8087",0.862448236699063,0.998572687300274,0.98189309309072,"LAMC2",1
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","2/141","197/8087",0.86269284699125,0.998572687300274,0.98189309309072,"IL1B/MYO10",2
"hsa04725","hsa04725","Cholinergic synapse","1/141","113/8087",0.864880186369963,0.998572687300274,0.98189309309072,"KCNQ5",1
"hsa04726","hsa04726","Serotonergic synapse","1/141","115/8087",0.869616736437743,0.998572687300274,0.98189309309072,"PTGS2",1
"hsa04015","hsa04015","Rap1 signaling pathway","2/141","210/8087",0.885650624306716,0.998572687300274,0.98189309309072,"FLT1/TEK",2
"hsa04611","hsa04611","Platelet activation","1/141","124/8087",0.888971131061323,0.998572687300274,0.98189309309072,"ITGA2",1
"hsa05010","hsa05010","Alzheimer disease","4/141","369/8087",0.891244349661457,0.998572687300274,0.98189309309072,"DKK1/IL1B/PSMA2/PTGS2",4
"hsa04010","hsa04010","MAPK signaling pathway","3/141","294/8087",0.892131401107809,0.998572687300274,0.98189309309072,"FLT1/IL1B/TEK",3
"hsa04380","hsa04380","Osteoclast differentiation","1/141","128/8087",0.896630027984145,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05163","hsa05163","Human cytomegalovirus infection","2/141","225/8087",0.907729378938825,0.998572687300274,0.98189309309072,"IL1B/PTGS2",2
"hsa04210","hsa04210","Apoptosis","1/141","136/8087",0.910409055121048,0.998572687300274,0.98189309309072,"PMAIP1",1
"hsa05135","hsa05135","Yersinia infection","1/141","137/8087",0.911997826750772,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04915","hsa04915","Estrogen signaling pathway","1/141","138/8087",0.913558620012173,0.998572687300274,0.98189309309072,"KRT34",1
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","1/141","139/8087",0.915091924148327,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04014","hsa04014","Ras signaling pathway","2/141","232/8087",0.916617053122216,0.998572687300274,0.98189309309072,"FLT1/TEK",2
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","1/141","143/8087",0.920959740046666,0.998572687300274,0.98189309309072,"SKIL",1
"hsa05017","hsa05017","Spinocerebellar ataxia","1/141","143/8087",0.920959740046666,0.998572687300274,0.98189309309072,"PSMA2",1
"hsa04072","hsa04072","Phospholipase D signaling pathway","1/141","148/8087",0.927731284687802,0.998572687300274,0.98189309309072,"DGKI",1
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","1/141","148/8087",0.927731284687802,0.998572687300274,0.98189309309072,"PTGS2",1
"hsa05226","hsa05226","Gastric cancer","1/141","149/8087",0.929014807657826,0.998572687300274,0.98189309309072,"CCNE2",1
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","1/141","150/8087",0.930275693538431,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04921","hsa04921","Oxytocin signaling pathway","1/141","154/8087",0.935100692300394,0.998572687300274,0.98189309309072,"PTGS2",1
"hsa04934","hsa04934","Cushing syndrome","1/141","155/8087",0.936254203252827,0.998572687300274,0.98189309309072,"CCNE2",1
"hsa04144","hsa04144","Endocytosis","2/141","252/8087",0.937803679038773,0.998572687300274,0.98189309309072,"SMURF2/TFRC",2
"hsa04390","hsa04390","Hippo signaling pathway","1/141","157/8087",0.938500503489378,0.998572687300274,0.98189309309072,"FRMD6",1
"hsa04530","hsa04530","Tight junction","1/141","169/8087",0.950419801373743,0.998572687300274,0.98189309309072,"PCNA",1
"hsa05164","hsa05164","Influenza A","1/141","171/8087",0.952169990095288,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05020","hsa05020","Prion disease","2/141","273/8087",0.95453353472629,0.998572687300274,0.98189309309072,"IL1B/PSMA2",2
"hsa05152","hsa05152","Tuberculosis","1/141","180/8087",0.959316703435656,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04621","hsa04621","NOD-like receptor signaling pathway","1/141","181/8087",0.960042180205047,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","1/141","193/8087",0.967807723715434,0.998572687300274,0.98189309309072,"PTGS2",1
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","4/141","475/8087",0.969722036161295,0.998572687300274,0.98189309309072,"DKK1/IL1B/PSMA2/PTGS2",4
"hsa05016","hsa05016","Huntington disease","2/141","306/8087",0.972491175584717,0.998572687300274,0.98189309309072,"PSMA2/TAF4B",2
"hsa05169","hsa05169","Epstein-Barr virus infection","1/141","202/8087",0.972630327687956,0.998572687300274,0.98189309309072,"CCNE2",1
"hsa05205","hsa05205","Proteoglycans in cancer","1/141","205/8087",0.97407268593251,0.998572687300274,0.98189309309072,"ITGA2",1
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","1/141","212/8087",0.977151331369509,0.998572687300274,0.98189309309072,"CDK1",1
"hsa04810","hsa04810","Regulation of actin cytoskeleton","1/141","218/8087",0.979499358907423,0.998572687300274,0.98189309309072,"ITGA2",1
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","1/141","219/8087",0.979866697882395,0.998572687300274,0.98189309309072,"CCNE2",1
"hsa04020","hsa04020","Calcium signaling pathway","1/141","240/8087",0.986234851469007,0.998572687300274,0.98189309309072,"FLT1",1
"hsa05131","hsa05131","Shigellosis","1/141","246/8087",0.987654240370733,0.998572687300274,0.98189309309072,"IL1B",1
"hsa05012","hsa05012","Parkinson disease","1/141","249/8087",0.98830843663883,0.998572687300274,0.98189309309072,"PSMA2",1
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","1/141","295/8087",0.994939838510767,0.998572687300274,0.98189309309072,"IL1B",1
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","1/141","341/8087",0.997820870961669,0.998572687300274,0.98189309309072,"CHRNA5",1
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","1/141","364/8087",0.998572687300274,0.998572687300274,0.98189309309072,"PSMA2",1
