"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04640","hsa04640","Hematopoietic cell lineage","5/201","99/8087",0.0998315652863026,0.999990619225258,0.999990619225258,"IL1B/ITGA2/TFRC/CSF1/KIT",5
"hsa03022","hsa03022","Basal transcription factors","3/201","45/8087",0.100519914132135,0.999990619225258,0.999990619225258,"GTF2E1/TAF13/TAF4B",3
"hsa04310","hsa04310","Wnt signaling pathway","7/201","160/8087",0.103535494727322,0.999990619225258,0.999990619225258,"CACYBP/DKK1/BAMBI/CAMK2D/LRP5/PRICKLE1/SMAD3",7
"hsa03060","hsa03060","Protein export","2/201","23/8087",0.11067145320692,0.999990619225258,0.999990619225258,"SEC61G/SRPRB",2
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","4/201","77/8087",0.124373806475284,0.999990619225258,0.999990619225258,"CDH2/DSP/ITGA2/ITGA8",4
"hsa05144","hsa05144","Malaria","3/201","50/8087",0.127215725937516,0.999990619225258,0.999990619225258,"IL1B/CCL2/ICAM1",3
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","6/201","140/8087",0.135412998348549,0.999990619225258,0.999990619225258,"BRCA1/FANCL/SMURF2/MID1/UBA7/UBE2L6",6
"hsa04392","hsa04392","Hippo signaling pathway - multiple species","2/201","29/8087",0.161602937063481,0.999990619225258,0.999990619225258,"FRMD6/FAT4",2
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","3/201","57/8087",0.168214317700601,0.999990619225258,0.999990619225258,"ABHD5/PTGS2/PNPLA2",3
"hsa05134","hsa05134","Legionellosis","3/201","57/8087",0.168214317700601,0.999990619225258,0.999990619225258,"CLK1/IL1B/HSPA2",3
"hsa03040","hsa03040","Spliceosome","6/201","151/8087",0.173499180879445,0.999990619225258,0.999990619225258,"LSM3/LSM5/RNU4-1/RNU5A-1/RNVU1-18/HSPA2",6
"hsa03020","hsa03020","RNA polymerase","2/201","31/8087",0.17940636028965,0.999990619225258,0.999990619225258,"POLR3F/POLR2L",2
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","2/201","32/8087",0.188417462613553,0.999990619225258,0.999990619225258,"GALNT5/GCNT4",2
"hsa00561","hsa00561","Glycerolipid metabolism","3/201","61/8087",0.193159723811989,0.999990619225258,0.999990619225258,"DGKI/GPAM/PNPLA2",3
"hsa05222","hsa05222","Small cell lung cancer","4/201","92/8087",0.195234228888873,0.999990619225258,0.999990619225258,"CCNE2/ITGA2/LAMC2/PTGS2",4
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","3/201","63/8087",0.205963440567025,0.999990619225258,0.999990619225258,"IL1B/POLR3F/POLR2L",3
"hsa00230","hsa00230","Purine metabolism","5/201","130/8087",0.222020366148846,0.999990619225258,0.999990619225258,"DCK/PNP/PRPS1/AK3/PDE5A",5
"hsa00500","hsa00500","Starch and sucrose metabolism","2/201","36/8087",0.22498719373058,0.999990619225258,0.999990619225258,"PGM2L1/GYG2",2
"hsa04068","hsa04068","FoxO signaling pathway","5/201","131/8087",0.226560781750219,0.999990619225258,0.999990619225258,"FBXO32/HOMER1/HOMER2/PLK4/SMAD3",5
"hsa05143","hsa05143","African trypanosomiasis","2/201","37/8087",0.234221084135412,0.999990619225258,0.999990619225258,"IL1B/ICAM1",2
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","4/201","100/8087",0.237193901480301,0.999990619225258,0.999990619225258,"IL1B/CCL2/ICAM1/SMAD3",4
"hsa04151","hsa04151","PI3K-Akt signaling pathway","11/201","354/8087",0.265390971169969,0.999990619225258,0.999990619225258,"BRCA1/CCNE2/COL6A3/FLT1/ITGA2/LAMC2/TEK/CSF1/ITGA8/KIT/LPAR1",11
"hsa01524","hsa01524","Platinum drug resistance","3/201","73/8087",0.272328903828656,0.999990619225258,0.999990619225258,"BRCA1/MSH2/PMAIP1",3
"hsa04115","hsa04115","p53 signaling pathway","3/201","73/8087",0.272328903828656,0.999990619225258,0.999990619225258,"CCNE2/CDK1/PMAIP1",3
"hsa01230","hsa01230","Biosynthesis of amino acids","3/201","75/8087",0.285913338296024,0.999990619225258,0.999990619225258,"ASNS/PRPS1/PSAT1",3
"hsa04066","hsa04066","HIF-1 signaling pathway","4/201","109/8087",0.286620144841803,0.999990619225258,0.999990619225258,"FLT1/TEK/TFRC/CAMK2D",4
"hsa05212","hsa05212","Pancreatic cancer","3/201","76/8087",0.292727283883597,0.999990619225258,0.999990619225258,"BRCA2/RAD51/SMAD3",3
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","4/201","111/8087",0.297819502242605,0.999990619225258,0.999990619225258,"GNL3/MPHOSPH10/RIOK2/UTP14A",4
"hsa03018","hsa03018","RNA degradation","3/201","79/8087",0.313226738215274,0.999990619225258,0.999990619225258,"EXOSC8/LSM3/LSM5",3
"hsa03050","hsa03050","Proteasome","2/201","46/8087",0.317564786448878,0.999990619225258,0.999990619225258,"PSMA2/PSMB9",2
"hsa00514","hsa00514","Other types of O-glycan biosynthesis","2/201","47/8087",0.32674958068685,0.999990619225258,0.999990619225258,"GALNT5/GXYLT2",2
"hsa05204","hsa05204","Chemical carcinogenesis","3/201","83/8087",0.340607591501991,0.999990619225258,0.999990619225258,"PTGS2/ALDH3B1/CYP1B1",3
"hsa04150","hsa04150","mTOR signaling pathway","5/201","155/8087",0.341657806121514,0.999990619225258,0.999990619225258,"GRB10/RNF152/SLC3A2/SLC7A5/LRP5",5
"hsa01240","hsa01240","Biosynthesis of cofactors","5/201","156/8087",0.346608835195632,0.999990619225258,0.999990619225258,"GCLC/MTHFD2/PSAT1/AK3/DHRS3",5
"hsa00360","hsa00360","Phenylalanine metabolism","1/201","17/8087",0.348383321692243,0.999990619225258,0.999990619225258,"ALDH3B1",1
"hsa00450","hsa00450","Selenocompound metabolism","1/201","17/8087",0.348383321692243,0.999990619225258,0.999990619225258,"TXNRD1",1
"hsa00270","hsa00270","Cysteine and methionine metabolism","2/201","50/8087",0.354092370373857,0.999990619225258,0.999990619225258,"GCLC/PSAT1",2
"hsa04979","hsa04979","Cholesterol metabolism","2/201","50/8087",0.354092370373857,0.999990619225258,0.999990619225258,"ANGPTL4/SORT1",2
"hsa05168","hsa05168","Herpes simplex virus 1 infection","14/201","498/8087",0.355696259896869,0.999990619225258,0.999990619225258,"IL1B/ZNF347/ZNF443/ZNF562/ZNF566/ZNF675/ZNF682/ZNF721/ZNF730/ZNF749/ZNF823/ZNF845/ZNF93/CCL2",14
"hsa05210","hsa05210","Colorectal cancer","3/201","86/8087",0.361103767105897,0.999990619225258,0.999990619225258,"MSH2/PMAIP1/SMAD3",3
"hsa00330","hsa00330","Arginine and proline metabolism","2/201","51/8087",0.363123352789837,0.999990619225258,0.999990619225258,"P4HA3/SAT1",2
"hsa04913","hsa04913","Ovarian steroidogenesis","2/201","51/8087",0.363123352789837,0.999990619225258,0.999990619225258,"PTGS2/CYP1B1",2
"hsa05206","hsa05206","MicroRNAs in cancer","9/201","310/8087",0.364914050747351,0.999990619225258,0.999990619225258,"BRCA1/CCNE2/CDC25A/MIR15A/MIR221/MIR29A/PTGS2/CYP1B1/MIR326",9
"hsa04540","hsa04540","Gap junction","3/201","88/8087",0.374719084161728,0.999990619225258,0.999990619225258,"CDK1/LPAR1/TUBA4A",3
"hsa00531","hsa00531","Glycosaminoglycan degradation","1/201","19/8087",0.380440760458728,0.999990619225258,0.999990619225258,"SGSH",1
"hsa00100","hsa00100","Steroid biosynthesis","1/201","20/8087",0.395875986927221,0.999990619225258,0.999990619225258,"CYP2R1",1
"hsa00670","hsa00670","One carbon pool by folate","1/201","20/8087",0.395875986927221,0.999990619225258,0.999990619225258,"MTHFD2",1
"hsa04114","hsa04114","Oocyte meiosis","4/201","129/8087",0.39976886105141,0.999990619225258,0.999990619225258,"CCNE2/CDK1/FBXO5/CAMK2D",4
"hsa04657","hsa04657","IL-17 signaling pathway","3/201","94/8087",0.415172256967633,0.999990619225258,0.999990619225258,"IL1B/PTGS2/CCL2",3
"hsa00240","hsa00240","Pyrimidine metabolism","2/201","57/8087",0.416205818886536,0.999990619225258,0.999990619225258,"DCK/PNP",2
"hsa04015","hsa04015","Rap1 signaling pathway","6/201","210/8087",0.423415104504881,0.999990619225258,0.999990619225258,"FLT1/TEK/CSF1/KIT/LPAR1/RASGRP3",6
"hsa05012","hsa05012","Parkinson disease","7/201","249/8087",0.424778511579415,0.999990619225258,0.999990619225258,"PSMA2/CAMK2D/ND6/NDUFA3/TUBA4A/UBA7/UBE2L6",7
"hsa00340","hsa00340","Histidine metabolism","1/201","22/8087",0.425607853777033,0.999990619225258,0.999990619225258,"ALDH3B1",1
"hsa00900","hsa00900","Terpenoid backbone biosynthesis","1/201","22/8087",0.425607853777033,0.999990619225258,0.999990619225258,"PDSS1",1
"hsa04978","hsa04978","Mineral absorption","2/201","59/8087",0.433414214630798,0.999990619225258,0.999990619225258,"STEAP1/SLC40A1",2
"hsa05010","hsa05010","Alzheimer disease","10/201","369/8087",0.435877980797592,0.999990619225258,0.999990619225258,"DKK1/IL1B/PSMA2/PTGS2/APH1B/CSF1/LRP5/ND6/NDUFA3/TUBA4A",10
"hsa04614","hsa04614","Renin-angiotensin system","1/201","23/8087",0.439923144712038,0.999990619225258,0.999990619225258,"ENPEP",1
"hsa00564","hsa00564","Glycerophospholipid metabolism","3/201","98/8087",0.441685116893025,0.999990619225258,0.999990619225258,"DGKI/GPAM/LPCAT3",3
"hsa00534","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/201","24/8087",0.453883393709171,0.999990619225258,0.999990619225258,"XYLT1",1
"hsa04977","hsa04977","Vitamin digestion and absorption","1/201","24/8087",0.453883393709171,0.999990619225258,0.999990619225258,"SLC19A2",1
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","3/201","100/8087",0.454770395960399,0.999990619225258,0.999990619225258,"CCL2/CSF1/IL10RB",3
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","4/201","139/8087",0.455642669853191,0.999990619225258,0.999990619225258,"IL1B/CCL2/ICAM1/SDC4",4
"hsa00563","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","1/201","25/8087",0.467497363430671,0.999990619225258,0.999990619225258,"PIGA",1
"hsa05146","hsa05146","Amoebiasis","3/201","102/8087",0.467728098094722,0.999990619225258,0.999990619225258,"IL1B/LAMC2/SERPINB9",3
"hsa04974","hsa04974","Protein digestion and absorption","3/201","103/8087",0.474156209810353,0.999990619225258,0.999990619225258,"COL6A3/COL7A1/SLC3A2",3
"hsa04064","hsa04064","NF-kappa B signaling pathway","3/201","104/8087",0.480549039548099,0.999990619225258,0.999990619225258,"IL1B/PTGS2/ICAM1",3
"hsa00790","hsa00790","Folate biosynthesis","1/201","26/8087",0.48077360133075,0.999990619225258,0.999990619225258,"PCBD1",1
"hsa05321","hsa05321","Inflammatory bowel disease","2/201","65/8087",0.483343167313616,0.999990619225258,0.999990619225258,"IL1B/SMAD3",2
"hsa05224","hsa05224","Breast cancer","4/201","147/8087",0.499090926021011,0.999990619225258,0.999990619225258,"BRCA1/BRCA2/KIT/LRP5",4
"hsa00830","hsa00830","Retinol metabolism","2/201","69/8087",0.515093620384745,0.999990619225258,0.999990619225258,"DHRS3/RDH5",2
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","12/201","475/8087",0.520008956696872,0.999990619225258,0.999990619225258,"DKK1/IL1B/PSMA2/PTGS2/CAMK2D/CSF1/LRP5/ND6/NDUFA3/TUBA4A/UBA7/UBE2L6",12
"hsa05230","hsa05230","Central carbon metabolism in cancer","2/201","70/8087",0.522828748484304,0.999990619225258,0.999990619225258,"SLC7A5/KIT",2
"hsa04145","hsa04145","Phagosome","4/201","152/8087",0.525488270451546,0.999990619225258,0.999990619225258,"ITGA2/SEC61G/TFRC/TUBA4A",4
"hsa05145","hsa05145","Toxoplasmosis","3/201","112/8087",0.530305947879578,0.999990619225258,0.999990619225258,"LAMC2/HSPA2/IL10RB",3
"hsa00030","hsa00030","Pentose phosphate pathway","1/201","30/8087",0.530664942489793,0.999990619225258,0.999990619225258,"PRPS1",1
"hsa00410","hsa00410","beta-Alanine metabolism","1/201","30/8087",0.530664942489793,0.999990619225258,0.999990619225258,"ALDH3B1",1
"hsa01523","hsa01523","Antifolate resistance","1/201","31/8087",0.542373561896464,0.999990619225258,0.999990619225258,"IL1B",1
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","5/201","197/8087",0.545111561559715,0.999990619225258,0.999990619225258,"IL1B/MYO10/CLDN11/LPAR1/TUBA4A",5
"hsa04215","hsa04215","Apoptosis - multiple species","1/201","32/8087",0.55379150058301,0.999990619225258,0.999990619225258,"PMAIP1",1
"hsa04510","hsa04510","Focal adhesion","5/201","201/8087",0.563148099363861,0.999990619225258,0.999990619225258,"COL6A3/FLT1/ITGA2/LAMC2/ITGA8",5
"hsa04130","hsa04130","SNARE interactions in vesicular transport","1/201","33/8087",0.564925939860826,0.999990619225258,0.999990619225258,"VAMP5",1
"hsa03320","hsa03320","PPAR signaling pathway","2/201","76/8087",0.567482079656651,0.999990619225258,0.999990619225258,"ANGPTL4/FABP5",2
"hsa05140","hsa05140","Leishmaniasis","2/201","77/8087",0.574626870451238,0.999990619225258,0.999990619225258,"IL1B/PTGS2",2
"hsa00640","hsa00640","Propanoate metabolism","1/201","34/8087",0.575783884495539,0.999990619225258,0.999990619225258,"BCKDHB",1
"hsa05203","hsa05203","Viral carcinogenesis","5/201","204/8087",0.576439301187462,0.999990619225258,0.999990619225258,"CCNE2/CDK1/GTF2E1/PMAIP1/RBL1",5
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450","2/201","78/8087",0.581685831271648,0.999990619225258,0.999990619225258,"ALDH3B1/CYP1B1",2
"hsa00760","hsa00760","Nicotinate and nicotinamide metabolism","1/201","35/8087",0.586372167025826,0.999990619225258,0.999990619225258,"PNP",1
"hsa00350","hsa00350","Tyrosine metabolism","1/201","36/8087",0.596697451977118,0.999990619225258,0.999990619225258,"ALDH3B1",1
"hsa04010","hsa04010","MAPK signaling pathway","7/201","294/8087",0.600755329759346,0.999990619225258,0.999990619225258,"FLT1/IL1B/TEK/CSF1/HSPA2/KIT/RASGRP3",7
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","1/201","37/8087",0.606766239972721,0.999990619225258,0.999990619225258,"ASNS",1
"hsa04530","hsa04530","Tight junction","4/201","169/8087",0.609806755365125,0.999990619225258,0.999990619225258,"PCNA/CLDN11/SYNPO/TUBA4A",4
"hsa04142","hsa04142","Lysosome","3/201","128/8087",0.62128988876022,0.999990619225258,0.999990619225258,"CTSC/SGSH/SORT1",3
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","1/201","40/8087",0.63549625347661,0.999990619225258,0.999990619225258,"PSAT1",1
"hsa00380","hsa00380","Tryptophan metabolism","1/201","42/8087",0.653479271550943,0.999990619225258,0.999990619225258,"CYP1B1",1
"hsa05332","hsa05332","Graft-versus-host disease","1/201","42/8087",0.653479271550943,0.999990619225258,0.999990619225258,"IL1B",1
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","2/201","90/8087",0.659693259904379,0.999990619225258,0.999990619225258,"ITGA2/ITGA8",2
"hsa04210","hsa04210","Apoptosis","3/201","136/8087",0.662070180712587,0.999990619225258,0.999990619225258,"PMAIP1/CTSC/TUBA4A",3
"hsa04940","hsa04940","Type I diabetes mellitus","1/201","43/8087",0.662136905661355,0.999990619225258,0.999990619225258,"IL1B",1
"hsa04360","hsa04360","Axon guidance","4/201","182/8087",0.667760248011034,0.999990619225258,0.999990619225258,"PLXNA2/SEMA3C/SEMA7A/CAMK2D",4
"hsa05162","hsa05162","Measles","3/201","139/8087",0.676524671235878,0.999990619225258,0.999990619225258,"CCNE2/IL1B/HSPA2",3
"hsa05020","hsa05020","Prion disease","6/201","273/8087",0.678228933771566,0.999990619225258,0.999990619225258,"IL1B/PSMA2/HSPA2/ND6/NDUFA3/TUBA4A",6
"hsa03013","hsa03013","RNA transport","4/201","186/8087",0.684368261825919,0.999990619225258,0.999990619225258,"RNU4-1/RNU5A-1/RNVU1-18/UPF3B",4
"hsa04014","hsa04014","Ras signaling pathway","5/201","232/8087",0.68934641010293,0.999990619225258,0.999990619225258,"FLT1/TEK/CSF1/KIT/RASGRP3",5
"hsa05171","hsa05171","Coronavirus disease - COVID-19","5/201","232/8087",0.68934641010293,0.999990619225258,0.999990619225258,"IL1B/RPL26/RPS10/RPS21/CCL2",5
"hsa05150","hsa05150","Staphylococcus aureus infection","2/201","96/8087",0.694133820167182,0.999990619225258,0.999990619225258,"KRT34/ICAM1",2
"hsa05414","hsa05414","Dilated cardiomyopathy","2/201","96/8087",0.694133820167182,0.999990619225258,0.999990619225258,"ITGA2/ITGA8",2
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","3/201","143/8087",0.695085125519243,0.999990619225258,0.999990619225258,"SKIL/DLX5/SMAD3",3
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","1/201","48/8087",0.702300792200514,0.999990619225258,0.999990619225258,"BCKDHB",1
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism","1/201","48/8087",0.702300792200514,0.999990619225258,0.999990619225258,"NAGK",1
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","2/201","98/8087",0.704960172356362,0.999990619225258,0.999990619225258,"IL1B/CAMK2D",2
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","2/201","100/8087",0.715467244822898,0.999990619225258,0.999990619225258,"CDC25A/CDK1",2
"hsa04340","hsa04340","Hedgehog signaling pathway","1/201","50/8087",0.717002398759989,0.999990619225258,0.999990619225258,"SMURF2",1
"hsa05110","hsa05110","Vibrio cholerae infection","1/201","50/8087",0.717002398759989,0.999990619225258,0.999990619225258,"SEC61G",1
"hsa04072","hsa04072","Phospholipase D signaling pathway","3/201","148/8087",0.717147827832485,0.999990619225258,0.999990619225258,"DGKI/KIT/LPAR1",3
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","3/201","148/8087",0.717147827832485,0.999990619225258,0.999990619225258,"PTGS2/ND6/NDUFA3",3
"hsa04916","hsa04916","Melanogenesis","2/201","101/8087",0.720602627847943,0.999990619225258,0.999990619225258,"CAMK2D/KIT",2
"hsa05226","hsa05226","Gastric cancer","3/201","149/8087",0.721409909322545,0.999990619225258,0.999990619225258,"CCNE2/LRP5/SMAD3",3
"hsa05165","hsa05165","Human papillomavirus infection","7/201","331/8087",0.722122373271572,0.999990619225258,0.999990619225258,"CCNE2/COL6A3/ITGA2/LAMC2/PTGS2/RBL1/ITGA8",7
"hsa05142","hsa05142","Chagas disease","2/201","102/8087",0.725660118443007,0.999990619225258,0.999990619225258,"IL1B/CCL2",2
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","2/201","104/8087",0.735544145906836,0.999990619225258,0.999990619225258,"IL1B/PTGS2",2
"hsa04330","hsa04330","Notch signaling pathway","1/201","53/8087",0.737711063498846,0.999990619225258,0.999990619225258,"APH1B",1
"hsa04659","hsa04659","Th17 cell differentiation","2/201","107/8087",0.749803374632312,0.999990619225258,0.999990619225258,"IL1B/SMAD3",2
"hsa03010","hsa03010","Ribosome","3/201","158/8087",0.75755424551429,0.999990619225258,0.999990619225258,"RPL26/RPS10/RPS21",3
"hsa04217","hsa04217","Necroptosis","3/201","159/8087",0.76132853378491,0.999990619225258,0.999990619225258,"IL1B/MLKL/CAMK2D",3
"hsa00480","hsa00480","Glutathione metabolism","1/201","57/8087",0.762995362777082,0.999990619225258,0.999990619225258,"GCLC",1
"hsa05161","hsa05161","Hepatitis B","3/201","162/8087",0.772368270137193,0.999990619225258,0.999990619225258,"CCNE2/PCNA/SMAD3",3
"hsa04370","hsa04370","VEGF signaling pathway","1/201","59/8087",0.774712575411687,0.999990619225258,0.999990619225258,"PTGS2",1
"hsa04725","hsa04725","Cholinergic synapse","2/201","113/8087",0.776354332379861,0.999990619225258,0.999990619225258,"KCNQ5/CAMK2D",2
"hsa05016","hsa05016","Huntington disease","6/201","306/8087",0.778634303096736,0.999990619225258,0.999990619225258,"PSMA2/TAF4B/ND6/NDUFA3/POLR2L/TUBA4A",6
"hsa05416","hsa05416","Viral myocarditis","1/201","60/8087",0.780353179838973,0.999990619225258,0.999990619225258,"ICAM1",1
"hsa04670","hsa04670","Leukocyte transendothelial migration","2/201","114/8087",0.780533348670173,0.999990619225258,0.999990619225258,"CLDN11/ICAM1",2
"hsa04724","hsa04724","Glutamatergic synapse","2/201","114/8087",0.780533348670173,0.999990619225258,0.999990619225258,"HOMER1/HOMER2",2
"hsa00140","hsa00140","Steroid hormone biosynthesis","1/201","61/8087",0.785853243480728,0.999990619225258,0.999990619225258,"CYP1B1",1
"hsa00590","hsa00590","Arachidonic acid metabolism","1/201","61/8087",0.785853243480728,0.999990619225258,0.999990619225258,"PTGS2",1
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","1/201","62/8087",0.791216250963954,0.999990619225258,0.999990619225258,"HSPA2",1
"hsa05225","hsa05225","Hepatocellular carcinoma","3/201","168/8087",0.793201229352865,0.999990619225258,0.999990619225258,"LRP5/SMAD3/TXNRD1",3
"hsa01200","hsa01200","Carbon metabolism","2/201","118/8087",0.796574875387236,0.999990619225258,0.999990619225258,"PRPS1/PSAT1",2
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","4/201","219/8087",0.799209856053446,0.999990619225258,0.999990619225258,"CCNE2/ICAM1/SMAD3/ZFP36",4
"hsa04722","hsa04722","Neurotrophin signaling pathway","2/201","119/8087",0.800420594318162,0.999990619225258,0.999990619225258,"CAMK2D/SORT1",2
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","3/201","171/8087",0.803012115779195,0.999990619225258,0.999990619225258,"HSPH1/SEC61G/HSPA2",3
"hsa05164","hsa05164","Influenza A","3/201","171/8087",0.803012115779195,0.999990619225258,0.999990619225258,"IL1B/CCL2/ICAM1",3
"hsa05163","hsa05163","Human cytomegalovirus infection","4/201","225/8087",0.816009118961038,0.999990619225258,0.999990619225258,"IL1B/PTGS2/CCL2/IL10RB",4
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","1/201","67/8087",0.816091506410366,0.999990619225258,0.999990619225258,"ALDH3B1",1
"hsa04720","hsa04720","Long-term potentiation","1/201","67/8087",0.816091506410366,0.999990619225258,0.999990619225258,"CAMK2D",1
"hsa05221","hsa05221","Acute myeloid leukemia","1/201","67/8087",0.816091506410366,0.999990619225258,0.999990619225258,"KIT",1
"hsa04137","hsa04137","Mitophagy - animal","1/201","68/8087",0.820700684366914,0.999990619225258,0.999990619225258,"CITED2",1
"hsa05031","hsa05031","Amphetamine addiction","1/201","69/8087",0.825194905896064,0.999990619225258,0.999990619225258,"CAMK2D",1
"hsa05152","hsa05152","Tuberculosis","3/201","180/8087",0.83013685958907,0.999990619225258,0.999990619225258,"IL1B/CAMK2D/IL10RB",3
"hsa04380","hsa04380","Osteoclast differentiation","2/201","128/8087",0.832235792030668,0.999990619225258,0.999990619225258,"IL1B/CSF1",2
"hsa04520","hsa04520","Adherens junction","1/201","71/8087",0.833849821693577,0.999990619225258,0.999990619225258,"SMAD3",1
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","1/201","72/8087",0.83801601254183,0.999990619225258,0.999990619225258,"ALDH3B1",1
"hsa00190","hsa00190","Oxidative phosphorylation","2/201","133/8087",0.847874979113244,0.999990619225258,0.999990619225258,"ND6/NDUFA3",2
"hsa04270","hsa04270","Vascular smooth muscle contraction","2/201","133/8087",0.847874979113244,0.999990619225258,0.999990619225258,"ADM/ADRA1B",2
"hsa05214","hsa05214","Glioma","1/201","75/8087",0.8499010881539,0.999990619225258,0.999990619225258,"CAMK2D",1
"hsa04971","hsa04971","Gastric acid secretion","1/201","76/8087",0.853666674933863,0.999990619225258,0.999990619225258,"CAMK2D",1
"hsa05133","hsa05133","Pertussis","1/201","76/8087",0.853666674933863,0.999990619225258,0.999990619225258,"IL1B",1
"hsa05220","hsa05220","Chronic myeloid leukemia","1/201","76/8087",0.853666674933863,0.999990619225258,0.999990619225258,"SMAD3",1
"hsa05135","hsa05135","Yersinia infection","2/201","137/8087",0.859423618915158,0.999990619225258,0.999990619225258,"IL1B/CCL2",2
"hsa04612","hsa04612","Antigen processing and presentation","1/201","78/8087",0.860918152867556,0.999990619225258,0.999990619225258,"HSPA2",1
